"Time","pedicure"
"2016-05-01",70
"2016-06-01",68
"2016-07-01",76
"2016-08-01",71
"2016-09-01",70
"2016-10-01",66
"2016-11-01",77
"2016-12-01",73
"2017-01-01",82
"2017-02-01",74
"2017-03-01",76
"2017-04-01",68
"2017-05-01",69
"2017-06-01",71
"2017-07-01",70
"2017-08-01",70
"2017-09-01",74
"2017-10-01",74
"2017-11-01",74
"2017-12-01",77
"2018-01-01",86
"2018-02-01",74
"2018-03-01",75
"2018-04-01",73
"2018-05-01",74
"2018-06-01",69
"2018-07-01",76
"2018-08-01",78
"2018-09-01",72
"2018-10-01",74
"2018-11-01",76
"2018-12-01",79
"2019-01-01",88
"2019-02-01",92
"2019-03-01",87
"2019-04-01",81
"2019-05-01",86
"2019-06-01",78
"2019-07-01",85
"2019-08-01",85
"2019-09-01",87
"2019-10-01",92
"2019-11-01",85
"2019-12-01",90
"2020-01-01",96
"2020-02-01",89
"2020-03-01",69
"2020-04-01",51
"2020-05-01",61
"2020-06-01",69
"2020-07-01",74
"2020-08-01",77
"2020-09-01",86
"2020-10-01",91
"2020-11-01",87
"2020-12-01",97
"2021-01-01",100
"2021-02-01",95
"2021-03-01",79
"2021-04-01",73
"2021-05-01",75
"2021-06-01",75
"2021-07-01",84
"2021-08-01",87
"2021-09-01",91
"2021-10-01",88
"2021-11-01",88
"2021-12-01",96
"2022-01-01",97
"2022-02-01",93
"2022-03-01",85
"2022-04-01",83
"2022-05-01",82
"2022-06-01",82
"2022-07-01",88
"2022-08-01",82
"2022-09-01",82
"2022-10-01",76
"2022-11-01",82
"2022-12-01",97
"2023-01-01",93
"2023-02-01",87
"2023-03-01",90
"2023-04-01",79
"2023-05-01",78
"2023-06-01",73
"2023-07-01",76
"2023-08-01",76
"2023-09-01",76
"2023-10-01",75
"2023-11-01",80
"2023-12-01",93
"2024-01-01",86
"2024-02-01",67
"2024-03-01",62
"2024-04-01",55
"2024-05-01",57
"2024-06-01",58
"2024-07-01",57
"2024-08-01",58
"2024-09-01",62
"2024-10-01",60
"2024-11-01",68
"2024-12-01",75
"2025-01-01",77
"2025-02-01",69
"2025-03-01",68
"2025-04-01",66
"2025-05-01",61
"2025-06-01",58
"2025-07-01",53
"2025-08-01",58
"2025-09-01",61
"2025-10-01",62
"2025-11-01",67
"2025-12-01",81
"2026-01-01",76
"2026-02-01",70
"2026-03-01",70
"2026-04-01",60
